program,routeOrSite,stationOrPoint,latitude,longitude
cwmp,cwmp1,p1,43.312097,-78.840043
cwmp,cwmp10,p1,43.371105,-78.264709
cwmp,cwmp108,p1,43.511644,-76.323752
cwmp,cwmp11,p1,43.353279,-78.192714
cwmp,cwmp112,p1,43.523348,-76.255702
cwmp,cwmp112,p2,43.521914,-76.256309
cwmp,cwmp113,p1,43.52484,-76.24165
cwmp,cwmp116,p1,43.536422,-76.223863
cwmp,cwmp116,p2,43.534246,-76.226221
cwmp,cwmp117,p1,43.551352,-76.212359
cwmp,cwmp118,p1,43.567217,-76.203181
cwmp,cwmp119,p1,43.62954,-76.195841
cwmp,cwmp120,p1,43.598349,-76.198393
cwmp,cwmp122,p1,43.682425,-76.199567
cwmp,cwmp123,p1,43.635516,-76.16579
cwmp,cwmp123,p2,43.635564,-76.165844
cwmp,cwmp124,p1,43.65388286,-76.15717585
cwmp,cwmp125,p1,43.677536,-76.172266
cwmp,cwmp126,p1,43.690196,-76.201012
cwmp,cwmp1266,p1,45.79292,-85.374077
cwmp,cwmp1267,p1,45.79406,-85.37611
cwmp,cwmp1267,p2,45.796203,-85.368902
cwmp,cwmp1273,p1,45.799592,-85.460221
cwmp,cwmp1275,p1M,44.618891,-86.218711
cwmp,cwmp1275,p2,44.614749,-86.215318
cwmp,cwmp1276,p1,44.487375,-86.214597
cwmp,cwmp1276,p2,44.488233,-86.223369
cwmp,cwmp1279,p1,44.295868,-86.283572
cwmp,cwmp1280,p1,44.295115,-86.308047
cwmp,cwmp1281,p1,44.2639,-86.2948
cwmp,cwmp1281,p1M,44.252165,-86.298015
cwmp,cwmp1281,p2,44.261499,-86.290633
cwmp,cwmp1281,p3,44.260877,-86.286144
cwmp,cwmp1281,p4,44.252441,-86.29644
cwmp,cwmp1282,p1,44.204309,-86.270735
cwmp,cwmp1282,p2,44.206272,-86.273429
cwmp,cwmp1282,p3,44.208504,-86.275217
cwmp,cwmp1297,p1,43.92707,-86.4174
cwmp,cwmp1297,p1M,43.927586,-86.416872
cwmp,cwmp1297,p2,43.935643,-86.416172
cwmp,cwmp1297,p3,43.926701,-86.41332
cwmp,cwmp1297,p4,43.925899,-86.409261
cwmp,cwmp130,p1,43.80477355,-76.22652043
cwmp,cwmp1301,p1,43.763481,-86.403179
cwmp,cwmp1301,p1M,43.763576,-86.40383
cwmp,cwmp1301,p2,43.763068,-86.409435
cwmp,cwmp1301,p3,43.762942,-86.394448
cwmp,cwmp1303,p1,43.57444444,-86.45833333
cwmp,cwmp1305,p1,43.417946,-86.346406
cwmp,cwmp1305,p2,43.414756,-86.351028
cwmp,cwmp1306,p1,43.343548,-86.376669
cwmp,cwmp1307,p1,43.24663333,-86.33453333
cwmp,cwmp1307,p1M,43.246769,-86.334604
cwmp,cwmp1308,p1,43.249603,-86.311762
cwmp,cwmp1310,p1,43.16635,-86.27908
cwmp,cwmp1311,p1,43.264951,-86.245548
cwmp,cwmp1311,p2,43.261947,-86.181417
cwmp,cwmp1312,p1,43.180903,-86.223479
cwmp,cwmp1312,p1M,43.181962,-86.22304
cwmp,cwmp1313,p1,42.962684,-86.217765
cwmp,cwmp1314,p1,42.91702,-86.15076
cwmp,cwmp1314,p2,42.898563,-86.194719
cwmp,cwmp1318,p1,42.7925,-86.18576667
cwmp,cwmp1318,p2,42.795244,-86.18606
cwmp,cwmp1319,p1,42.407264,-86.269053
cwmp,cwmp1319,p1M,42.410149,-86.266213
cwmp,cwmp1325,p1,41.798656,-86.743154
cwmp,cwmp1325,p2,41.808347,-86.719564
cwmp,cwmp1325,p3,41.808326,-86.719553
cwmp,cwmp1325,p4,41.80922,-86.714282
cwmp,cwmp133,p1,43.82468401,-76.22970203
cwmp,cwmp137,p1,43.836985,-76.264923
cwmp,cwmp1372,p1,42.48321706,-87.80990275
cwmp,cwmp1372,p2,42.48674945,-87.8057304
cwmp,cwmp1372,p3,42.50014901,-87.81149413
cwmp,cwmp1373,p1,42.40545999,-87.80592897
cwmp,cwmp1373,p2,42.41039802,-87.80789201
cwmp,cwmp1379,p1,44.46640997,-87.50277498
cwmp,cwmp1379,p1M,44.46658297,-87.50214701
cwmp,cwmp1379,p2,44.47799603,-87.52668302
cwmp,cwmp1379,p3,44.47061501,-87.505598
cwmp,cwmp1379,p4,44.47647203,-87.51795896
cwmp,cwmp1382,p1,44.80619699,-87.33985903
cwmp,cwmp1391,p1,45.06474601,-87.08226697
cwmp,cwmp1392,p1,45.09580297,-87.05150203
cwmp,cwmp1393,p1,45.10084704,-87.05272201
cwmp,cwmp1394,p1,45.14997798,-87.08014601
cwmp,cwmp1394,p2,45.15465684,-87.07871212
cwmp,cwmp1394,p2M,45.15451301,-87.07936096
cwmp,cwmp1406,p1,45.34900501,-86.93458102
cwmp,cwmp1406,p1M,45.34896201,-86.93655504
cwmp,cwmp1406,p2,45.35175604,-86.93318199
cwmp,cwmp1412,p1,45.369439,-86.85680701
cwmp,cwmp1412,p2,45.37042698,-86.849356
cwmp,cwmp1426,p1,44.88615003,-87.44216996
cwmp,cwmp1428,p1,44.87932901,-87.43925398
cwmp,cwmp1428,p1M,44.879328,-87.43908098
cwmp,cwmp1429,p1,44.86596406,-87.47262871
cwmp,cwmp1432,p1,44.86329602,-87.50249201
cwmp,cwmp1435,p1,44.82877473,-87.54804413
cwmp,cwmp1435,p2,44.830245,-87.54306997
cwmp,cwmp1436,p1,44.82394198,-87.55621799
cwmp,cwmp1436,p1M,44.82461404,-87.55641086
cwmp,cwmp1437,p1,44.82727303,-87.56288697
cwmp,cwmp1437,p2,44.82904899,-87.56855196
cwmp,cwmp1438,p1,44.84542304,-87.55829503
cwmp,cwmp1438,p1M,44.84555698,-87.55909902
cwmp,cwmp1441,p1,44.58320199,-87.90084698
cwmp,cwmp1441,p2,44.57745099,-87.90159599
cwmp,cwmp1441,p3,44.57899972,-87.91050553
cwmp,cwmp1441,p4,44.58004,-87.90484
cwmp,cwmp1441,p5,44.58038097,-87.89988298
cwmp,cwmp1441,p6,44.57849,-87.89561
cwmp,cwmp1443,p1,44.53288701,-88.00001998
cwmp,cwmp1444,p1,44.55751799,-88.04069501
cwmp,cwmp1444,p2,44.55880897,-88.032984
cwmp,cwmp1444,p3,44.55809198,-88.03687898
cwmp,cwmp1444,p4,44.56205503,-88.04410703
cwmp,cwmp1446,p1,44.56611799,-88.04708504
cwmp,cwmp1446,p2,44.57125995,-88.04470651
cwmp,cwmp1449,p1,44.58949001,-88.01612296
cwmp,cwmp1449,p2,44.58465499,-88.01543699
cwmp,cwmp1449,p3,44.58370004,-88.02311196
cwmp,cwmp1449,p4,44.58119603,-88.01658397
cwmp,cwmp1451,p1,44.60573598,-88.01331301
cwmp,cwmp1451,p2,44.59926004,-88.01606596
cwmp,cwmp1451,p3,44.60309702,-88.016503
cwmp,cwmp1456,p1,44.61589376,-88.00855033
cwmp,cwmp1456,p1M,44.61592401,-88.00585203
cwmp,cwmp1456,p2,44.61135001,-88.00517997
cwmp,cwmp1456,p3,44.60781796,-87.999232
cwmp,cwmp1456,p3M,44.60912503,-87.99806499
cwmp,cwmp1456,p4,44.603885,-87.99371202
cwmp,cwmp1456,p5,44.61282598,-88.00068903
cwmp,cwmp1457,p1,44.59635898,-87.98430903
cwmp,cwmp1457,p1M,44.59615697,-87.983859
cwmp,cwmp1457,p2,44.59273255,-87.98334251
cwmp,cwmp1457,p2M,44.59297101,-87.98206402
cwmp,cwmp1457,p3,44.59005897,-87.98066298
cwmp,cwmp1458,p1,44.62092399,-88.013383
cwmp,cwmp1458,p2,44.62638999,-88.00850004
cwmp,cwmp1458,p3,44.63083399,-88.01010903
cwmp,cwmp1459,p1,44.677588,-87.99490501
cwmp,cwmp1459,p2,44.67099203,-88.000728
cwmp,cwmp1459,p3,44.66465204,-88.00251704
cwmp,cwmp1460,p1,44.67453598,-87.99257803
cwmp,cwmp1460,p1M,44.67415997,-87.99149098
cwmp,cwmp1460,p2,44.67067402,-87.99130398
cwmp,cwmp1460,p2M,44.67109697,-87.98963397
cwmp,cwmp1461,p1,44.73084804,-87.97539102
cwmp,cwmp1461,p1M,44.73067604,-87.97530603
cwmp,cwmp1462,p1,44.71109197,-87.98587703
cwmp,cwmp1464,p1,44.76627197,-87.93533701
cwmp,cwmp1464,p2,44.75568697,-87.94794003
cwmp,cwmp1464,p3,44.77452496,-87.92928896
cwmp,cwmp1465,p1,44.80810597,-87.91682297
cwmp,cwmp1465,p2,44.81925197,-87.90991603
cwmp,cwmp1466,p1,44.839478,-87.87817502
cwmp,cwmp1467,p1,44.840901,-87.87511798
cwmp,cwmp1468,p1,44.93811004,-87.83557501
cwmp,cwmp1468,p2,44.90593996,-87.84431297
cwmp,cwmp1468,p3,44.90598799,-87.85084097
cwmp,cwmp1468,p4,44.89961003,-87.84216897
cwmp,cwmp1468,p5,44.87751399,-87.84885404
cwmp,cwmp1468,p6,44.88683098,-87.84249703
cwmp,cwmp1468,p7,44.88463501,-87.83418001
cwmp,cwmp1468,p8,44.93467203,-87.83979102
cwmp,cwmp1469,p1,44.97384997,-87.65607999
cwmp,cwmp1469,p10,44.97990497,-87.66408898
cwmp,cwmp1469,p2,44.97663897,-87.67150604
cwmp,cwmp1469,p3,44.98093603,-87.67678102
cwmp,cwmp1469,p4,44.98386911,-87.65250603
cwmp,cwmp1469,p5,44.97901599,-87.65328697
cwmp,cwmp1469,p6,44.98440396,-87.63470404
cwmp,cwmp1469,p6M,44.98439298,-87.63471301
cwmp,cwmp1469,p7,44.98872399,-87.66586703
cwmp,cwmp1469,p8,44.98092899,-87.68488197
cwmp,cwmp1469,p9,44.98738498,-87.676288
cwmp,cwmp1475,p1,45.40792,-87.35565
cwmp,cwmp1475,p2,45.411561,-87.34841997
cwmp,cwmp1478,p1,45.47458914,-87.30671841
cwmp,cwmp148,p1,43.997699,-76.266445
cwmp,cwmp1484,p1,45.67572,-87.14517
cwmp,cwmp1484,p2,45.67718402,-87.13691102
cwmp,cwmp1484,p2M,45.67786203,-87.13952601
cwmp,cwmp1486,p1,45.70309902,-87.09048299
cwmp,cwmp1486,p2,45.70670097,-87.079987
cwmp,cwmp1486,p3,45.70755299,-87.07252996
cwmp,cwmp1487,p1,45.73099064,-87.06087576
cwmp,cwmp1488,p1,45.89730503,-86.98840197
cwmp,cwmp1488,p2,45.89534216,-86.981791
cwmp,cwmp1489,p1,45.78331718,-87.0638298
cwmp,cwmp1489,p2,45.793712,-87.07199503
cwmp,cwmp1489,p3,45.7897,-87.06859902
cwmp,cwmp1489,p4,45.78399,-87.068136
cwmp,cwmp1492,p1,45.79721304,-86.98572798
cwmp,cwmp1492,p2,45.81369999,-86.99071303
cwmp,cwmp1492,p3,45.82170504,-86.999553
cwmp,cwmp1493,p1,45.89910404,-86.98714896
cwmp,cwmp1493,p2,45.91013999,-86.97669698
cwmp,cwmp1494,p1,45.91383699,-86.96044204
cwmp,cwmp1494,p1M,45.914902,-86.959802
cwmp,cwmp1494,p1MA,45.91561002,-86.95972203
cwmp,cwmp1494,p2,45.91491298,-86.96585298
cwmp,cwmp1494,p3,45.90970396,-86.95870103
cwmp,cwmp1494,p3M,45.90983899,-86.95808002
cwmp,cwmp1497,p1,45.91779904,-86.94539501
cwmp,cwmp1497,p2,45.91371898,-86.94523299
cwmp,cwmp1497,p3,45.90934002,-86.94423001
cwmp,cwmp1497,p4,45.91341,-86.93737
cwmp,cwmp1497,p5,45.90877701,-86.939611
cwmp,cwmp15,p1,43.359904,-77.936018
cwmp,cwmp15,p2,43.35845,-77.938316
cwmp,cwmp1504,p1,45.73367704,-86.84897496
cwmp,cwmp1512,p1,45.82811695,-86.77707835
cwmp,cwmp1512,p1M,45.82776801,-86.77727197
cwmp,cwmp1512,p2,45.82319501,-86.77531798
cwmp,cwmp1513,p1,45.83265801,-86.78636902
cwmp,cwmp1513,p2,45.836439,-86.78758699
cwmp,cwmp1514,p1,45.865503,-86.74119199
cwmp,cwmp1515,p1,45.84470599,-86.70281997
cwmp,cwmp1515,p2,45.84264597,-86.68891003
cwmp,cwmp1515,p3,45.85991504,-86.68255102
cwmp,cwmp1515,p4,45.84455797,-86.67613601
cwmp,cwmp1515,p5,45.84415203,-86.69531699
cwmp,cwmp1516,p1,45.89994198,-86.56782196
cwmp,cwmp1519,p1,45.77729101,-86.55960401
cwmp,cwmp1519,p2,45.77249371,-86.55989293
cwmp,cwmp1519,p3,45.76942996,-86.56247397
cwmp,cwmp152,p1,43.909264,-76.119664
cwmp,cwmp1522,p1,45.74692598,-86.62439603
cwmp,cwmp1522,p2,45.749331,-86.62350303
cwmp,cwmp1523,p1,45.67632403,-86.59065703
cwmp,cwmp1523,p2,45.67141098,-86.59187299
cwmp,cwmp1527,p1,45.753631,-86.48357403
cwmp,cwmp1527,p2,45.75568498,-86.47999898
cwmp,cwmp1529,p1,45.76651398,-86.48357503
cwmp,cwmp155,p1,43.935161,-76.131666
cwmp,cwmp157,p1,43.973272,-76.17296
cwmp,cwmp1578,p1,46.07491798,-85.28693296
cwmp,cwmp1582,p1,46.060521,-85.226153
cwmp,cwmp1584,p1,46.054484,-85.195872
cwmp,cwmp1586,p1,46.057379,-85.171601
cwmp,cwmp1586,p2,46.06176,-85.183423
cwmp,cwmp1586,p2M,46.061801,-85.183376
cwmp,cwmp1586,p3,46.05795602,-85.19125898
cwmp,cwmp1586,p3M,46.056624,-85.193311
cwmp,cwmp1592,p1,45.900817,-84.841374
cwmp,cwmp1592,p2,45.91289202,-84.87100901
cwmp,cwmp1592,p3,45.927828,-84.894297
cwmp,cwmp1592,p4,45.91674116,-84.8728646
cwmp,cwmp1598,p1,45.847696,-84.74097
cwmp,cwmp1598,p2,45.84517,-84.749666
cwmp,cwmp16,p1,43.34994441,-77.89234095
cwmp,cwmp1601,p1,45.752965,-84.975967
cwmp,cwmp161,p1,43.974066,-76.085867
cwmp,cwmp1614,p1,45.42527778,-84.93388889
cwmp,cwmp1614,p1M,45.42504,-84.934082
cwmp,cwmp162,p1,43.977878,-76.048226
cwmp,cwmp162,p2,43.966445,-76.070716
cwmp,cwmp1626,p1M,44.855804,-85.446499
cwmp,cwmp1626,p2,44.851582,-85.445088
cwmp,cwmp163,p1,44.00087,-76.078388
cwmp,cwmp1638,p1,44.729685,-86.156253
cwmp,cwmp1638,p2,44.727667,-86.150483
cwmp,cwmp1639,p1,44.62583333,-86.2225
cwmp,cwmp164,p1,44.046691,-76.107341
cwmp,cwmp1640,p1,44.376233,-86.230333
cwmp,cwmp1642,p1,44.193513,-86.365456
cwmp,cwmp1643,p1,44.159324,-86.397033
cwmp,cwmp1650,p1,42.715183,-86.195128
cwmp,cwmp1650,p2,42.716038,-86.200633
cwmp,cwmp1651,p1,42.636373,-86.16309
cwmp,cwmp1651,p1M,42.636346,-86.163091
cwmp,cwmp1652,p1,42.64045,-86.198296
cwmp,cwmp1652,p2,42.64018,-86.195083
cwmp,cwmp1653,p1,42.648524,-86.198085
cwmp,cwmp1655,p1,42.662386,-86.198776
cwmp,cwmp167,p1,44.06714899,-76.15162301
cwmp,cwmp1670,p1,44.61779301,-87.44557746
cwmp,cwmp1670,p2,44.64657898,-87.46657999
cwmp,cwmp1670,p3,44.67537987,-87.48300215
cwmp,cwmp1670,p4,44.67015199,-87.478935
cwmp,cwmp1678,p1,45.08409463,-87.06740451
cwmp,cwmp1678,p1M,45.08424601,-87.06650304
cwmp,cwmp1680,p1,45.22341896,-87.03709899
cwmp,cwmp1681,p1,45.22961,-87.03905004
cwmp,cwmp1681,p2,45.24582001,-87.04851002
cwmp,cwmp1681,p2M,45.22543,-87.03632
cwmp,cwmp1686,p1,44.82477807,-87.34830086
cwmp,cwmp1687,p1,44.87751701,-87.43118699
cwmp,cwmp1697,p1,44.648279,-88.00546696
cwmp,cwmp1697,p2,44.64015299,-88.00985598
cwmp,cwmp1697,p3,44.63547396,-88.010234
cwmp,cwmp1697,p4,44.64437404,-88.01049904
cwmp,cwmp1697,p5,44.63201702,-88.01633502
cwmp,cwmp1698,p1,44.70633499,-87.99244702
cwmp,cwmp1698,p2,44.70179502,-87.99308999
cwmp,cwmp1698,p3,44.69722998,-87.99291003
cwmp,cwmp1698,p4,44.69326224,-87.99311765
cwmp,cwmp1700,p1,44.96353,-87.77870203
cwmp,cwmp1701,p1,45.00043804,-87.62614704
cwmp,cwmp1702,p1,45.04482298,-87.625839
